GUT_GENOME000073	12718_7_64	HBC	Isolate	4374505	103	118273	42.21	98.07	1.81	NA	0	99.61	86.22	19	NA	GUT_GENOME000295	MGYG-HGUT-00076	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis	ERS417281	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00076/genomes2/GUT_GENOME000073.gff.gz
GUT_GENOME000295	14207_7_83	HBC	Isolate	4318254	115	95257	42.41	98.55	0.41	NA	0	99.61	99.83	20	NA	GUT_GENOME000295	MGYG-HGUT-00076	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis	ERS852572	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00076/genomes2/GUT_GENOME000295.gff.gz
GUT_GENOME000464	20287_6_44	HBC	Isolate	4309194	78	159764	42.34	99.03	1.33	NA	0	99.61	99.83	20	NA	GUT_GENOME000295	MGYG-HGUT-00076	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis	ERS2064598	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00076/genomes2/GUT_GENOME000464.gff.gz
GUT_GENOME001152	AF31-21AC	CGR	Isolate	4140844	124	116672	42.36	99.03	1.09	NA	0	99.61	99.83	18	GCA_003475515	GUT_GENOME000295	MGYG-HGUT-00076	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis	SAMN09734578	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00076/genomes1/GUT_GENOME001152.gff.gz
GUT_GENOME001206	AF36-10AT	CGR	Isolate	4302757	104	154165	42.48	99.03	2.05	NA	0	99.61	99.83	19	GCA_003474885	GUT_GENOME000295	MGYG-HGUT-00076	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis	SAMN09734634	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00076/genomes1/GUT_GENOME001206.gff.gz
GUT_GENOME001484	AM22-21LB	CGR	Isolate	4112043	87	179396	42.56	99.03	1.09	NA	0	99.61	99.83	20	GCA_003471045	GUT_GENOME000295	MGYG-HGUT-00076	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis	SAMN09734911	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00076/genomes1/GUT_GENOME001484.gff.gz
GUT_GENOME001713	AM37-1AC	CGR	Isolate	4252876	78	160821	42.08	99.03	2.29	NA	0	99.61	99.83	19	GCA_003467725	GUT_GENOME000295	MGYG-HGUT-00076	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis	SAMN09736490	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00076/genomes1/GUT_GENOME001713.gff.gz
GUT_GENOME001784	AM43-11	CGR	Isolate	4337028	127	136540	42.28	99.03	0.6	NA	0	99.35	89.54	19	GCA_003467035	GUT_GENOME000295	MGYG-HGUT-00076	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis	SAMN09736561	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00076/genomes2/GUT_GENOME001784.gff.gz
GUT_GENOME002441	BackhedF_2015__SID137_12M__bin.6	CIBIO	MAG	3472929	108	52001	42.79	97.08	1.81	0.03	0	0	0	17	NA	GUT_GENOME000295	MGYG-HGUT-00076	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis	ERS473052	ERP005989	Sweden	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00076/genomes1/GUT_GENOME002441.gff.gz
GUT_GENOME002819	BackhedF_2015__SID18_12M__bin.6	CIBIO	MAG	3446920	57	124582	42.79	94.08	2.62	0.01	0	0	5.47	18	NA	GUT_GENOME000295	MGYG-HGUT-00076	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis	ERS473078	ERP005989	Sweden	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00076/genomes2/GUT_GENOME002819.gff.gz
